name,municipality,iata_code
Yagoua Airport,Yagoua,GXX
Salak Airport,Maroua,MVR
Foumban Nkounja Airport,Foumban,FOM
N'Gaoundéré Airport,N'Gaoundéré,NGE
Bertoua Airport,Bertoua,BTA
Garoua International Airport,Garoua,GOU
Dschang Airport,Dschang,DSC
Bafoussam Airport,Bafoussam,BFX
Bamenda Airport,Bamenda,BPC
Ebolowa Airport,Ebolowa,EBW
Yaoundé Airport,Yaoundé,YAO
Yaoundé Nsimalen International Airport,Yaoundé,NSI
Mbala Airport,Mbala,MMQ
Chipata Airport,Chipata,CIP
Jeki Airport,Jeki,JEK
Kasompe Airport,Chingola,CGJ
Kalabo Airport,Kalabo,KLB
Kaoma Airport,Kaoma,KMZ
Kasama Airport,Kasama,KAA
Kasaba Bay Airport,Kasaba Bay,ZKB
Harry Mwanga Nkumbula International Airport,Livingstone,LVI
Lukulu Airport,Lukulu,LXU
Kenneth Kaunda International Airport,Lusaka,LUN
Mansa Airport,Mansa,MNS
Mfuwe Airport,Mfuwe,MFU
Mongu Airport,Mongu,MNR
Ngoma Airport,Ngoma,ZGM
Simon Mwansa Kapwepwe International Airport,Ndola,NLA
Royal Zambezi Lodge Airstrip,Lower Zambezi River,RYL
Senanga Airport,Senanga,SXG
Southdowns Airport,Kitwe,KIW
Sesheke Airport,Sesheke,SJQ
Solwesi Airport,Solwesi,SLI
Flat Airport,Flat,FLT
Zambezi Airport,Zambezi,BBZ
Ulithi Airport,Falalop Island,ULI
Prince Said Ibrahim International Airport,Moroni,HAH
Mohéli Bandar Es Eslam Airport,Fomboni,NWA
Ouani Airport,Ouani,AJN
Dzaoudzi Pamandzi International Airport,Dzaoudzi,DZA
Roland Garros Airport,Sainte-Marie,RUN
Pierrefonds Airport,Saint-Pierre,ZSE
Malaimbandy Airport,Malaimbandy,WML
Antsirabe Airport,Antsirabe,ATJ
Antsalova Airport,Antsalova,WAQ
Mahanoro Airport,Mahanoro,VVB
Ivato Airport,Antananarivo,TNR
Ankavandra Airport,Ankavandra,JVA
Belo sur Tsiribihina Airport,Belo sur Tsiribihina,BMD
Miandrivazo Airport,Miandrivazo,ZVA
Maintirano Airport,Maintirano,MXT
Atsinanana Airport,Ilaka,ILK
Morafenobe Airport,Morafenobe,TVA
Sainte Marie Airport,Vohilava,SMS
Toamasina Ambalamanasy Airport,Toamasina,TMM
Tambohorano Airport,Tambohorano,WTA
Morondava Airport,Morondava,MOQ
Tsiroanomandidy Airport,Tsiroanomandidy,WTS
Vatomandry Airport,Vatomandry,VAT
Ambatondrazaka Airport,Ambatondrazaka,WAM
Arrachart Airport,Antisiranana,DIE
Ankaizina Airport,Bealanana,WBE
Mananara Nord Airport,Mananara Nord,WMR
Andapa Airport,,ZWA
Ambilobe Airport,,AMB
Avaratra Airport,Befandriana,WBD
Port Bergé Airport,Port Bergé,WPB
Antsirabe Airport,Antsirabe,ANM
Analalava Airport,Analalava,HVA
Amborovy Airport,Mahajanga,MJN
Fascene Airport,Nosy Be,NOS
Soalala Airport,Soalala,DWB
Mampikony Airport,Mampikony,WMP
Besalampy Airport,Besalampy,BPY
Maroantsetra Airport,Maroantsetra,WMN
Sambava Airport,Sambava,SVB
Tsaratanana Airport,Tsaratanana,TTS
Vohemar Airport,Vohemar,VOH
Ambalabe Airport,Antsohihy,WAI
Mandritsara Airport,Mandritsara,WMA
Ampampamena Airport,,IVA
Antsoa Airport,Beroroha,WBO
Mandabe Airport,Mandabe,WMD
Tôlanaro Airport,Tôlanaro,FTU
Fianarantsoa Airport,Fianarantsoa,WFI
Farafangana Airport,Farafangana,RVA
Ihosy Airport,Ihosy,IHO
Manja Airport,Manja,MJA
Manakara Airport,Manakara,WVK
Bekily Airport,Bekily,OVA
Mananjary Airport,Mananjary,MNJ
Samangoky Airport,Tanandava,TDV
Morombe Airport,Morombe,MXM
Toliara Airport,Toliara,TLE
Vangaindrano Airport,Vangaindrano,VND
Betioky Airport,Betioky,BKU
Ampanihy Airport,Ampanihy,AMP
Ankazoabo Airport,Ankazoabo,WAK
Ambriz Airport,Ambriz,AZZ
Mbanza Congo Airport,Mbanza Congo,SSY
Benguela 17th of September Airport,Benguela,BUG
Lumbala Airport,Lumbala N'guimbo,GGC
Cabinda Airport,Cabinda,CAB
Cafunfo Airport,Cafunfo,CFF
Chitato Airport,Chitato,PGI
Catumbela Airport,Catumbela,CBT
Cuito Cuanavale Airport,Cuito Cuanavale,CTI
Camaxilo Airport,Camaxilo,CXM
Cazombo Airport,Cazombo,CAV
Funadhoo Airport,Funadhoo,FND
Dundo Airport,Chitato,DUE
Fane Airport,Fane Mission,FNE
Ngjiva Pereira Airport,Ngiva,VPE
Nova Lisboa Airport,Huambo,NOV
Kuito Airport,Kuito,SVP
Lobito Airport,Lobito,LLT
Lucapa Airport,Lucapa,LBZ
Quatro de Fevereiro International Airport,Luanda,LAD
Luzamba Airport,Luzamba,LZM
Malanje Airport,Malanje,MEG
Menongue Airport,Menongue,SPP
Welwitschia Mirabilis International Airport,Moçâmedes,MSZ
Negage Airport,Negage,GXG
Porto Amboim Airport,Port Amboim,PBN
Saurimo Airport,Saurimo,VHC
Soyo Airport,Soyo,SZA
Sumbe Airport,Sumbe,NDD
Luau Airport,Luau,UAL
Lubango Airport,Lubango,SDD
Luena Airport,Luena,LUO
Uige Airport,Uige,UGO
Waco Kungo Airport,Waco Kungo,CEO
Xangongo Airport,Xangongo,XGN
N'zeto Airport,N'zeto,ARZ
Nzagi Airport,Nzagi,NZA
Booue Airport,Booue,BGB
Ndende Airport,Ndende,KDN
Fougamou Airport,Fougamou,FOU
M'Bigou Airport,M'Bigou,MBC
Moabi Airport,Moabi,MGX
Ville Airport,N'Djolé,KDJ
Koulamoutou Mabimbi Airport,Koulamoutou,KOU
Mouilla Ville Airport,Mouila,MJL
Oyem Airport,Oyem,OYE
Okondja Airport,Okondja,OKN
Lambarene Airport,Lambarene,LBQ
Minvoul Airport,Minvoul,MVX
Bitam Airport,Bitam,BMM
Moanda Airport,Moanda,MFF
Mekambo Airport,Mekambo,MKB
Port Gentil Airport,Port Gentil,POG
Omboue Hospital Airport,Omboue,OMB
Tchongorove Airport,Iguela,IGE
Makokou Airport,Makokou,MKU
Libreville Leon M'ba International Airport,Libreville,LBV
Mitzic Airport,Mitzic,MZC
M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,MVB
Lastourville Airport,Lastourville,LTL
Tchibanga Airport,Tchibanga,TCH
Mayumba Airport,Mayumba,MYB
Foya Airport,Foya,FOY
Principe Airport,São Tomé & Príncipe,PCP
São Tomé International Airport,São Tomé,TMS
Angoche Airport,Angoche,ANO
Beira Airport,Beira,BEW
Cuamba Airport,Cuamba,FXO
Chimoio Airport,Chimoio,VPY
Inhaca Airport,Inhaca,IHC
Inhambane Airport,Inhambane,INH
Lichinga Airport,Lichinga,VXC
Lumbo Airport,Lumbo,LFB
Maputo Airport,Maputo,MPM
Mueda Airport,Mueda,MUD
Mocímboa da Praia Airport,Mocímboa da Praia,MZB
Nacala Airport,Nacala,MNC
Nampula Airport,Nampula,APL
Pemba Airport,Pemba / Porto Amelia,POL
Ponta do Ouro Airport,Ponta do Ouro,PDD
Quelimane Airport,Quelimane,UEL
Chingozi Airport,Tete,TET
Vilankulo Airport,Vilanculo,VNX
Xai-Xai Airport,Xai-Xai,VJB
Desroches Airport,Desroches Island,DES
Seychelles International Airport,Mahe Island,SEZ
Fossil Downs Airport,Fossil Downs Station,FSL
Praslin Airport,Grand Anse,PRI
Bird Island Airport,Bird Island,BDI
Denis Island Airport,Denis Island,DEI
Frégate Island Airport,Frégate Island,FRK
Sarh Airport,Sarh,SRH
Bongor Airport,Bongor,OGR
Abeche Airport,Abeche,AEH
Moundou Airport,Moundou,MQQ
Lai Airport,Lai,LTC
Ati Airport,Ati,ATV
N'Djamena International Airport,N'Djamena,NDJ
Bokoro Airport,Bokoro,BKR
Bol-Berim Airport,Bol,OTC
Mongo Airport,Mongo,MVO
Am Timan Airport,Am Timan,AMC
Pala Airport,Pala,PLF
Bousso Airport,Bousso,OUT
Mao Airport,Mao,AMO
Faya Largeau Airport,,FYT
Fulleborn Airport,Fulleborn,FUB
Bumi Hills Airport,Bumi,BZH
Joshua Mqabuko Nkomo International Airport,Bulawayo,BUQ
Chipinge Airport,Chipinge,CHJ
Buffalo Range Airport,Chiredzi,BFO
Victoria Falls International Airport,Victoria Falls,VFA
Robert Gabriel Mugabe International Airport,Harare,HRE
Kariba International Airport,Kariba,KAB
Mahenye Airport,Gonarezhou National Park,MJW
Mutare Airport,Mutare,UTA
Masvingo International Airport,Masvingo,MVZ
Gweru - Thornhill Air Base,Gweru,GWE
Hwange National Park Airport,Hwange,HWN
Hwange (Town) Airport,Hwange,WKI
Chelinda Malawi Airport,,CEH
Chileka International Airport,Blantyre,BLZ
Club Makokola Airport,Club Makokola,CMK
Dwangwa Airport,Dwangwa,DWA
Karonga Airport,Karonga,KGJ
Kasungu Airport,Kasungu,KBQ
Lilongwe International Airport,Lilongwe,LLW
Likoma Island Airport,Likoma Island,LIX
Mangochi Airport,Mangochi,MAI
Monkey Bay Airport,Monkey Bay,MYZ
Salima Airport,Salima,LMB
Mzuzu Airport,Mzuzu,ZZU
Lebakeng Airport,Lebakeng,LEF
Leribe Airport,Leribe,LRB
Lesobeng Airport,Lesobeng,LES
Mafeteng Airport,Mafeteng,MFC
Mokhotlong Airport,Mokhotlong,MKH
Moshoeshoe I International Airport,Maseru,MSU
Nkaus Airport,Nkaus,NKU
Pelaneng Airport,Pelaneng,PEL
Quthing Airport,Quthing,UTG
Qacha's Nek Airport,Qacha's Nek,UNE
Sehonghong Airport,Sehonghong,SHK
Sekakes Airport,Sekakes,SKQ
Semonkong Airport,Semonkong,SOK
Seshutes Airport,Seshutes,SHZ
Thaba-Tseka Airport,Thaba-Tseka,THB
Tlokoeng Airport,Tlokoeng,TKO
Ai-Ais Airport,Ai-Ais,AIW
Arandis Airport,Arandis,ADI
Gobabis Airport,Gobabis,GOG
Grootfontein Airport,Grootfontein,GFY
Halali Airport,Halali,HAL
Karasburg Airport,Karasburg,KAS
Katima Mulilo Airport,Mpacha,MPA
Keetmanshoop Airport,Keetmanshoop,KMP
Lianshulu Airport,Lianshulu Lodge,LHU
Luderitz Airport,Luderitz,LUD
Mount Etjo Airport,Mount Etjo Safari Lodge,MJO
Midgard Airport,Midgard,MQG
Mokuti Lodge Airport,Mokuti Lodge,OKU
Namutoni Airport,Namutoni,NNI
Ondangwa Airport,Ondangwa,OND
Omega Airport,Omega,OMG
Oranjemund Airport,Oranjemund,OMD
Okaukuejo Airport,Okaukuejo,OKF
Opuwa Airport,Opuwa,OPW
Oshakati Airport,Oshakati,OHI
Otjiwarongo Airport,Otjiwarongo,OTJ
Rundu Airport,Rundu,NDU
Skorpion Mine Airport,Rosh Pinah,RHN
Swakopmund Municipal Aerodrome,Swakopmund,SWP
Sesriem Airstrip,,SZM
Terrace Bay Airport,Terrace Bay,TCY
Tsumeb Airport,Tsumeb,TSB
Walvis Bay Airport,Walvis Bay,WVB
Eros Airport,Windhoek,ERS
Hosea Kutako International Airport,Windhoek,WDH
Ndjili International Airport,Kinshasa,FIH
Ndolo Airport,N'dolo,NLO
Muanda Airport,Muanda,MNB
Boma Airport,Boma,BOA
Luozi Airport,Luozi,LZI
Tshimpi Airport,Matadi,MAT
N'Kolo-Fuma Airport,N'Kolo-Fuma,NKL
Inongo Airport,Inongo,INO
Nioki Airport,Nioki,NIO
Bandundu Airport,Bandundu,FDU
Kiri Airport,Kiri,KRZ
Kikwit Airport,Kikwit,KKW
Idiofa Airport,Idiofa,IDF
Lusanga Airport,Lusanga,LUS
Masi Manimba Airport,Masi Manimba,MSM
Mbandaka Airport,Mbandaka,MDK
Basankusu Airport,Basankusu,BSU
Libenge Airport,Libenge,LIE
Gbadolite Airport,Gbadolite,BDT
Gemena Airport,Gemena,GMA
Kotakoli Airbase,Kotakoli,KLI
Bumbar Airport,Bumbar,BMB
Lisala Airport,Lisala,LIQ
Boende Airport,Boende,BNB
Ikela Airport,Ikela,IKL
Bangoka International Airport,Kisangani,FKI
Yangambi Airport,Yangambi,YAN
Matari Airport,Isiro,IRP
Bunia Airport,Bunia,BUX
Buta Zega Airport,Buta,BZU
Bukavu Kavumu Airport,Kamakombe,BKY
Rughenda Airfield,Butembo,RUE
Goma International Airport,Goma,GOM
Beni Airport,Beni,BNC
Kindu Airport,Kindu,KND
Kinkungwa Airport,Kalima,KLY
Punia Airport,Punia,PUN
Lubumbashi International Airport,Lubumbashi,FBM
Pweto Airport,Pweto,PWO
Kasenga Airport,Kasenga,KEC
Kolwezi Airport,Kolwezi,KWZ
Manono Airport,Manono,MNO
Moba Airport,Moba,BDV
Kalemie Airport,Kalemie,FMI
Kabalo Airport,Kabalo,KBO
Kongolo Airport,Kongolo,KOO
Kamina City Airport,Kamina,KMN
Kapanga Airport,Kapanga,KAP
Kaniama Airport,Kaniama,KNM
Kananga Airport,Kananga,KGA
Luiza Airport,Luiza,LZA
Tshikapa Airport,Tshikapa,TSH
Lodja Airport,Lodja,LJA
Lusambo Airport,Lusambo,LBO
Mweka Airport,Mweka,MEW
Basongo Airport,Basongo,BAN
Ilebo Airport,Ilebo,PFR
Mbuji Mayi Airport,Mbuji Mayi,MJM
Tunta Airport,Kabinda,KBN
Akieni Airport,Akieni,AKE
Gamba Airport,Gamba,GAX
Gabbs Airport,Gabbs,GAB
Modibo Keita International Airport,Bamako,BKO
Goundam Airport,Goundam,GUD
Gao Airport,,GAQ
Kenieba Airport,Kenieba,KNZ
Koutiala Airport,Koutiala,KTX
Kayes Dag Dag Airport,,KYS
Mopti Ambodédjo International Airport,Sévaré,MZI
Nara Airport,Nara,NRM
Nioro du Sahel Airport,Nioro du Sahel,NIX
Sikasso Airport,Sikasso,KSS
Timbuktu Airport,Timbuktu,TOM
Yélimané Airport,Yélimané,EYL
Guasopa Airport,Woodlark (Muyua) Island,GAZ
Dornoch Airfield,"Dornoch, Sunderland",DOC
Flotta Isle Airstrip,Flotta Isle,FLH
Foula Airfield,Foula,FOA
Out Skerries Airfield,Grunay Island,OUK
Papa Stour Airport,Papa Stour Island,PSV
Glenforsa Airfield,Glenforsa,ULL
Garbaharey Airport,Garbaharey,GBM
Banjul International Airport,Banjul,BJL
Fuerteventura Airport,El Matorral,FUE
La Gomera Airport,"Alajero, La Gomera Island",GMZ
El Hierro Airport,El Hierro Island,VDE
La Palma Airport,"Sta Cruz de la Palma, La Palma Island",SPC
Gran Canaria Airport,Gran Canaria Island,LPA
César Manrique-Lanzarote Airport,San Bartolomé,ACE
Tenerife Sur Airport,Tenerife,TFS
Gravatai Airport,Gravatai,GCV
Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,TFN
Ceuta Heliport,Ceuta,JCU
Melilla Airport,Melilla,MLN
Gewoia Airport,Gewoia,GEW
Camopi Airport,Camopi,OYC
Bo Airport,Bo,KBS
Pope Field,Greenfield,GFD
Gbangbatok Airport,Gbangbatok,GBK
Hastings Airport,Freetown,HGS
Kabala Airport,Kabala,KBA
Kenema Airport,Kenema,KEN
Lungi International Airport,Freetown (Lungi-Town),FNA
Yengema Airport,Yengema,WYE
Bubaque Airport,Bubaque,BQE
Osvaldo Vieira International Airport,Bissau,OXB
Garachiné Airport,Garachiné,GHE
Akunnaaq Heliport,Akunnaaq,QCU
Buchanan Airport,Buchanan,UCN
Cape Palmas Airport,Harper,CPA
Greenville/Sinoe Airport,Greenville,SNI
Spriggs Payne Airport,Monrovia,MLW
Nimba Airport,Nimba,NIA
Gulgubip Airport,Gulgubip,GLP
Roberts International Airport,Monrovia,ROB
Sasstown Airport,Sasstown,SAZ
Tchien Airport,Zwedru,THC
Voinjama Airport,Voinjama,VOI
Al Massira Airport,Agadir (Temsia),AGA
Tan Tan Airport,Tan Tan,TTA
Bouarfa Airport,Bouarfa,UAR
Fes Saïss International Airport,Saïss,FEZ
Moulay Ali Cherif Airport,Errachidia,ERH
Bassatine Airport,Meknes,MEK
Oujda Angads Airport,Ahl Angad,OUD
Smara Airport,Smara,SMW
Ben Slimane Airport,Ben Slimane,GMD
Beni Mellal Airport,Oulad Yaich,BEM
Rabat-Salé Airport,Rabat,RBA
Dakhla Airport,Dakhla,VIL
Essaouira-Mogador Airport,Essaouira,ESU
Hassan I Airport,El Aaiún,EUN
Mohammed V International Airport,Casablanca,CMN
Nador Al Aaroui International Airport,Al Aaroui,NDR
Menara Airport,Marrakech,RAK
Kenitra Air Base,Kenitra,NNA
Ouarzazate Airport,Ouarzazate,OZZ
Golog Maqên Airport,Golog (Maqên),GMQ
Cherif Al Idrissi Airport,Al Hoceima,AHU
Sania Ramel Airport,Tétouan,TTU
Tangier Ibn Battuta Airport,Tangier,TNG
Goodnews Airport,Goodnews,GNU
Blaise Diagne International Airport,Dakar,DSS
Gora Airstrip,Gora,GOC
Kolda North Airport,Kolda,KDA
Ziguinchor Airport,Ziguinchor,ZIG
Cap Skirring Airport,Cap Skirring,CSK
Kaolack Airport,Kaolack,KLC
Léopold Sédar Senghor International Airport,Dakar,DKR
Ouro Sogui Airport,Ouro Sogui,MAX
Podor Airport,Podor,POD
Richard Toll Airport,Richard Toll,RDT
Saint Louis Airport,Saint Louis,XLS
Bakel Airport,Bakel,BXE
Kédougou Airport,Kédougou,KGG
Simenti Airport,Simenti,SMY
Tambacounda Airport,Tambacounda,TUD
Aioun el Atrouss Airport,Aioun El Atrouss,AEO
Boutilimit Airport,Boutilimit,OTL
Tichitt Airport,Tichitt,THI
Tidjikja Airport,Tidjikja,TIY
Abbaye Airport,Boghe,BGH
Kiffa Airport,Kiffa,KFA
Timbedra Airport,Timbedra,TMD
Néma Airport,Néma,EMN
Akjoujt Airport,Akjoujt,AJJ
Kaédi Airport,Kaédi,KED
Letfotar Airport,Moudjeria,MOM
Nouakchott–Oumtounsy International Airport,Nouakchott,NKC
